product_id,product_name,quantity_stock,minimum_stock_level,total_revenue,expiry_date
1001,Organic Avocados,150,50,450.50,15/06/26
1002,Red Apples,25,40,120.00,20/04/26
1003,Bananas,200,100,85.00,14/04/26
1004,Fresh Spinach,15,30,45.00,13/04/26
1005,Roma Tomatoes,120,40,180.00,18/04/26
1006,Sweet Potatoes,60,25,95.00,25/06/26
1007,Strawberries,10,35,150.00,14/04/26
1008,Carrots,300,50,110.00,30/06/26
1009,Bell Peppers,25,20,75.00,16/04/26
1010,Fresh Blueberries,5,15,90.00,13/04/26
1011,Mangoes,80,30,220.00,20/05/26
1012,Watermelon,40,20,300.00,30/05/26
1013,Onions,500,100,60.00,30/07/26
1014,Garlic,200,50,75.00,30/07/26
1015,Ginger Root,100,30,90.00,15/05/26